param m:= 2;  # de camiones
param n:= 20; # de clientes
#param nl:= 4;  # de intervalos de tiempo
param t_days:= 5;  # de días
param p_num:= 7;  # de patrones
param D:= 50; # duración máxima del día de trabajo.
	  	  
param tao := 
1 	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
;
	
param e :=
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
;

param L := 
2	40
3	40
4	40
5	40
6	40
7	40
8	40
9	40
10	40
11	40
12	40
13	40
14	40
15	40
16	40
17	40
18	40
19	40
20	40
21	40
;

	
param d:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22:=
1	0.00	3.50	4.09	3.45	2.48	2.19	1.31	3.19	3.08	2.09	2.42	2.78	4.19	4.35	2.91	3.91	4.28	4.49	3.88	1.78	1.86	0.00
2	3.50	0.00	0.76	6.94	4.07	2.12	3.07	6.29	4.62	3.10	1.16	6.23	1.54	1.33	6.41	6.83	7.76	7.98	7.20	4.25	1.64	3.50
3	4.09	0.76	0.00	7.51	4.83	2.38	3.46	6.99	4.75	3.86	1.67	6.75	0.97	0.63	6.98	7.16	8.29	8.52	7.87	4.60	2.23	4.09
4	3.45	6.94	7.51	0.00	4.49	5.37	4.23	2.33	4.61	4.83	5.85	0.97	7.50	7.72	0.54	2.81	0.94	1.10	1.70	3.48	5.31	3.45
5	2.48	4.07	4.83	4.49	0.00	4.04	3.63	2.74	5.55	0.98	3.55	4.32	5.39	5.34	4.00	6.05	5.43	5.57	3.87	4.25	3.07	2.48
6	2.19	2.12	2.38	5.37	4.04	0.00	1.15	5.38	2.51	3.20	1.08	4.52	2.14	2.41	4.87	4.78	6.07	6.31	6.05	2.23	1.12	2.19
7	1.31	3.07	3.46	4.23	3.63	1.15	0.00	4.44	2.03	3.00	1.91	3.37	3.29	3.55	3.74	3.76	4.92	5.16	5.00	1.19	1.57	1.31
8	3.19	6.29	6.99	2.33	2.74	5.38	4.44	0.00	5.69	3.46	5.41	2.74	7.28	7.36	2.06	4.83	3.16	3.23	1.14	4.30	4.83	3.19
9	3.08	4.62	4.75	4.61	5.55	2.51	2.03	5.69	0.00	5.00	3.59	3.64	4.19	4.58	4.29	2.80	4.97	5.21	5.91	1.41	3.45	3.08
10	2.09	3.10	3.86	4.83	0.98	3.20	3.00	3.46	5.00	0.00	2.61	4.47	4.42	4.36	4.31	5.94	5.76	5.94	4.52	3.83	2.16	2.09
11	2.42	1.16	1.67	5.85	3.55	1.08	1.91	5.41	3.59	2.61	0.00	5.10	1.89	1.96	5.32	5.67	6.64	6.86	6.24	3.10	0.58	2.42
12	2.78	6.23	6.75	0.97	4.32	4.52	3.37	2.74	3.64	4.47	5.10	0.00	6.66	6.90	0.75	2.10	1.55	1.78	2.46	2.53	4.58	2.78
13	4.19	1.54	0.97	7.50	5.39	2.14	3.29	7.28	4.19	4.42	1.89	6.66	0.00	0.44	7.00	6.79	8.21	8.45	8.07	4.32	2.46	4.19
14	4.35	1.33	0.63	7.72	5.34	2.41	3.55	7.36	4.58	4.36	1.96	6.90	0.44	0.00	7.20	7.13	8.45	8.69	8.19	4.62	2.54	4.35
15	2.91	6.41	6.98	0.54	4.00	4.87	3.74	2.06	4.29	4.31	5.32	0.75	7.00	7.20	0.00	2.82	1.46	1.64	1.72	3.07	4.77	2.91
16	3.91	6.83	7.16	2.81	6.05	4.78	3.76	4.83	2.80	5.94	5.67	2.10	6.79	7.13	2.82	0.00	2.67	2.88	4.49	2.58	5.30	3.91
17	4.28	7.76	8.29	0.94	5.43	6.07	4.92	3.16	4.97	5.76	6.64	1.55	8.21	8.45	1.46	2.67	0.00	0.24	2.32	4.02	6.11	4.28
18	4.49	7.98	8.52	1.10	5.57	6.31	5.16	3.23	5.21	5.94	6.86	1.78	8.45	8.69	1.64	2.88	0.24	0.00	2.32	4.27	6.33	4.49
19	3.88	7.20	7.87	1.70	3.87	6.05	5.00	1.14	5.91	4.52	6.24	2.46	8.07	8.19	1.72	4.49	2.32	2.32	0.00	4.60	5.66	3.88
20	1.78	4.25	4.60	3.48	4.25	2.23	1.19	4.30	1.41	3.83	3.10	2.53	4.32	4.62	3.07	2.58	4.02	4.27	4.60	0.00	2.75	1.78
21	1.86	1.64	2.23	5.31	3.07	1.12	1.57	4.83	3.45	2.16	0.58	4.58	2.46	2.54	4.77	5.30	6.11	6.33	5.66	2.75	0.00	1.86
22	0.00	3.50	4.09	3.45	2.48	2.19	1.31	3.19	3.08	2.09	2.42	2.78	4.19	4.35	2.91	3.91	4.28	4.49	3.88	1.78	1.86	0.00
;

      
param a:1	2	3	4	5:=
1	1	0	0	0	0
2	0	1	0	0	0
3	0	0	1	0	0
4	0	0	0	1	0
5	0	0	0	0	1
6	0	1	0	1	0
7	0	0	1	0	1; 

param nv :=
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1;

#SUBCONJUNTOS
set subcl1:=2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
set subcl2:=;
#Patrones de visita para clientes en subcl2. o sea. con frecuencia 2 (2 veces por semana). 

set L1:=1 2 3 4 5 ;
set L2:= 6 7; 
# 
