# Datos22cl distribuidos centrados 30 visitas 8 cl BS y 14 cl S 

# PARÁMETROS
param n := 22;

param t_days := 5; # number of days

param m := 2; # number of trucks

param p_num := 7; # number of patterns

param D := 150;


param a:	1	2	3	4	5:=
1	1	0	0	0	0
2	0	1	0	0	0
3	0	0	1	0	0
4	0	0	0	1	0
5	0	0	0	0	1
6       1       0       0       1       0
7       0       1       0       0       1;
                          
param d:			1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24:=
1	0	4	7	3	5	5	6	2	3	5	6	3	5	2	8	5	6	8	5	4	4	7	3	0
2	4	0	8	6	8	8	5	6	7	6	10	5	7	2	11	5	4	11	9	3	3	8	4	4
3	7	8	0	10	4	12	5	5	8	12	6	9	2	7	14	4	12	4	9	6	10	14	5	7
4	3	6	10	0	7	2	9	4	2	3	7	1	8	4	5	8	6	10	4	7	3	5	6	3
5	5	8	4	7	0	8	7	3	5	10	2	7	2	6	10	6	11	3	5	7	8	12	4	5
6	5	8	12	2	8	0	11	6	3	4	8	3	10	6	3	10	7	11	4	9	5	5	8	5
7	6	5	5	9	7	11	0	6	9	10	9	8	5	5	14	2	9	9	10	2	8	12	4	6
8	2	6	5	4	3	6	6	0	3	7	4	4	3	4	9	5	8	6	4	5	6	9	3	2
9	3	7	8	2	5	3	9	3	0	5	5	3	6	5	6	7	7	8	2	7	5	7	5	3
10	5	6	12	3	10	4	10	7	5	0	10	3	10	5	6	9	4	12	7	8	2	2	7	5
11	6	10	6	7	2	8	9	4	5	10	0	8	4	8	10	7	12	3	5	9	9	12	6	6
12	3	5	9	1	7	3	8	4	3	3	8	0	7	3	6	7	5	10	5	6	2	5	5	3
13	5	7	2	8	2	10	5	3	6	10	4	7	0	6	12	4	10	4	7	5	8	12	3	5
14	2	2	7	4	6	6	5	4	5	5	8	3	6	0	9	4	4	9	7	3	3	7	3	2
15	8	11	14	5	10	3	14	9	6	6	10	6	12	9	0	13	9	13	5	12	8	6	10	8
16	5	5	4	8	6	10	2	5	7	9	7	7	4	4	13	0	8	7	9	2	7	11	2	5
17	6	4	12	6	11	7	9	8	7	4	12	5	10	4	9	8	0	14	9	6	2	4	7	6
18	8	11	4	10	3	11	9	6	8	12	3	10	4	9	13	7	14	0	8	9	11	15	7	8
19	5	9	9	4	5	4	10	4	2	7	5	5	7	7	5	9	9	8	0	9	7	9	7	5
20	4	3	6	7	7	9	2	5	7	8	9	6	5	3	12	2	6	9	9	0	5	10	3	4
21	4	3	10	3	8	5	8	6	5	2	9	2	8	3	8	7	2	11	7	5	0	5	5	4
22	7	8	14	5	12	5	12	9	7	2	12	5	12	7	6	11	4	15	9	10	5	0	10	7
23	3	4	5	6	4	8	4	3	5	7	6	5	3	3	10	2	7	7	7	3	5	10	0	3
24	0	4	7	3	5	5	6	2	3	5	6	3	5	2	8	5	6	8	5	4	4	7	3	0;

param e:=
1       0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0;

param tao := 
1        0
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10;


param nv :=
2	1
3	2
4	2
5	1
6	1
7	2
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	2
16	1
17	2
18	2
19	2
20	1
21	1
22	2
23	1;

param L:=
2	120
3	120
4	120
5	120
6	120
7	120
8	120
9	120
10	120
11	120
12	120
13	120
14	120
15	120
16	120
17	120
18	120
19	120
20	120
21	120
22	120
23	120;



#SUBCONJUNTOS
set subcl1:=2 5 6 8 9 10 11 12 13 14 16 20 21 23;
set subcl2:=3 4 7 15 17 18 19 22;
set L1:= 1  2  3  4  5;
set L2:= 6 7;


