# Datos 15 cl distribuidos depot NO centrado 20 visitas 5 BS y 10S
# PARÁMETROS
param n := 15;

param t_days := 5; # number of days

param m := 2; # number of trucks

param p_num := 8; #number of patterns L, M, Mi, J, V, L/J, Ma/V y Mi/V
param D := 150;


param a:	1	2	3       4       5:=
1	1	0	0	1	0 
2	0	1	0	0	1
3	0	0	1	0	1
4       1       0       0       0       0
5       0       1       0       0       0
6       0       0       1       0       0
7       0       0       0       1       0
8       0       0       0       0       1;
                          
param d:		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17  :=
1	0	10	11	12	4	6	7	9	4	5	7	7	6	3	5	9	0
2	10	0	20	4	8	16	17	5	10	14	3	16	5	12	13	4	10
3	11	20	0	22	14	5	4	19	12	8	18	6	16	9	7	19	11
4	12	4	22	0	8	18	19	9	13	15	5	17	8	14	16	3	12
5	4	8	14	8	0	10	11	9	7	6	5	9	6	5	9	5	4
6	6	16	5	18	10	0	2	15	8	5	14	2	12	4	4	15	6
7	7	17	4	19	11	2	0	15	8	6	14	4	13	6	4	16	7
8	9	5	19	9	9	15	15	0	7	14	5	16	3	12	12	8	9
9	4	10	12	13	7	8	8	7	0	9	8	9	5	6	4	11	4
10	5	14	8	15	6	5	6	14	9	0	11	3	11	3	6	12	5
11	7	3	18	5	5	14	14	5	8	11	0	14	4	10	11	3	7
12	7	16	6	17	9	2	4	16	9	3	14	0	13	4	6	14	7
13	6	5	16	8	6	12	13	3	5	11	4	13	0	9	9	6	6
14	3	12	9	14	5	4	6	12	6	3	10	4	9	0	4	11	3
15	5	13	7	16	9	4	4	12	4	6	11	6	9	4	0	13	5
16	9	4	19	3	5	15	16	8	11	12	3	14	6	11	13	0	9
17	0	10	11	12	4	6	7	9	4	5	7	7	6	3	5	9	0;

param e:=
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12      0
13      0
14      0
15      0
16      0;

param tao := 
1        0
2	10
3	10
4	10
5	10
6	10
7	10
8	10
9	10
10	10
11	10
12      10
13      10
14      10
15      10
16      10;


param nv :=
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12      2
13      2
14      2
15      2
16      2;

param L:=
2	120
3	120
4	120
5	120
6	120
7	120
8	120
9	120
10	120
11	120
12      120
13      120
14      120
15      120
16      120;


#SUBCONJUNTOS
set subcl1:=4  5  6  7  8  11  12  13  14  16;
set L1:= 1  2  3  4  5;
set subcl2:=2  3  9  10  15;
set L2:= 1  2  3;


